checkpoint,dataset,snr,metric,participant,n_trials,estimate,lower,upper
pre_released,Fitts,20.0,Reconstruction_MASE,104,651,0.20499907878648232,0.19758125640975424,0.21296810909984637
pre_released,Fitts,20.0,Reconstruction_MASE,106,651,0.24425928495545315,0.23263618536958527,0.25689806206405535
pre_released,Fitts,20.0,Reconstruction_MASE,108,652,0.23769443443251537,0.23048527017177914,0.24596485703259205
pre_released,Fitts,20.0,Reconstruction_MASE,110,652,0.2542991614110429,0.24482892369785275,0.26361569961273007
pre_released,Fitts,20.0,Reconstruction_MASE,2,432,0.29586635094907404,0.2841879466336805,0.30935708884548613
pre_released,Fitts,20.0,Reconstruction_MASE,4,432,0.2869258876851852,0.27389115796006946,0.3017475582447916
pre_released,Fitts,20.0,Reconstruction_MASE,6,432,0.3505383600694444,0.3360866825457176,0.3677061871047454
pre_released,Fitts,20.0,Reconstruction_MASE,8,432,0.2822513723148148,0.2709706829988426,0.2940589350329861
pre_released,Fitts,20.0,Reconstruction_R2,10,434,0.8979873779457286,0.8869489834673943,0.9085631530680415
pre_released,Fitts,20.0,Reconstruction_R2,102,652,0.8557621902483372,0.8478868893593366,0.8632240118767404
pre_released,Fitts,20.0,Reconstruction_R2,104,651,0.941572159940746,0.9347917989239715,0.9482239606262352
pre_released,Fitts,20.0,Reconstruction_R2,106,651,0.9189441028278544,0.9097435851937615,0.9272629459035195
pre_released,Fitts,20.0,Reconstruction_R2,108,652,0.9147222363875688,0.9083279386596994,0.9202609732358551
pre_released,Fitts,20.0,Reconstruction_R2,110,652,0.8993636184126321,0.8917766161651517,0.9066108523656621
pre_released,Fitts,20.0,Reconstruction_R2,2,432,0.868437506120514,0.8573597445739088,0.8783385836174367
pre_released,Fitts,20.0,Reconstruction_R2,4,432,0.8791287700059237,0.8676379381472038,0.8894350773585891
pre_released,Fitts,20.0,Reconstruction_R2,6,432,0.8024719814183535,0.7906127481721341,0.8146437629539934
pre_released,Fitts,20.0,Reconstruction_R2,8,432,0.8749775805131152,0.8633678298753997,0.8859768572401393
pre_released,Fitts,inf,Number_of_submovements_per_second,10,434,1.7793923099675486,1.714206885792152,1.8460597666752983
pre_released,Fitts,inf,Number_of_submovements_per_second,102,652,1.9318664553032423,1.8856260039853616,1.9760129305696903
pre_released,Fitts,inf,Number_of_submovements_per_second,104,651,1.6513545691864007,1.6082589771074978,1.6955545727970414
pre_released,Fitts,inf,Number_of_submovements_per_second,106,651,1.8604485576860779,1.818279180742268,1.902737165535135
pre_released,Fitts,inf,Number_of_submovements_per_second,108,652,1.4938347103457006,1.4566823883761333,1.5315793159748483
pre_released,Fitts,inf,Number_of_submovements_per_second,110,652,1.859100764257365,1.8157361612106715,1.9029451104429511
pre_released,Fitts,inf,Number_of_submovements_per_second,2,432,2.2490942175500095,2.1962963406307003,2.30259314748562
pre_released,Fitts,inf,Number_of_submovements_per_second,4,432,2.131332670428997,2.0782140919181984,2.187157825143206
pre_released,Fitts,inf,Number_of_submovements_per_second,6,432,2.273279409855604,2.2143330424441956,2.328967351540794
pre_released,Fitts,inf,Number_of_submovements_per_second,8,432,2.6159735186956823,2.5394831827078534,2.693774797219602
pre_released,Fitts,inf,Reconstruction_MASE,10,434,0.2708741077880184,0.2562382421578341,0.2872419308519585
pre_released,Fitts,inf,Reconstruction_MASE,102,652,0.2918695541717792,0.2818145546357362,0.30225084562231597
pre_released,Fitts,inf,Reconstruction_MASE,104,651,0.20082884100768048,0.19365871681728108,0.20850222735890933
pre_released,Fitts,inf,Reconstruction_MASE,106,651,0.24370349986789552,0.23259005690245776,0.2559617204390169
pre_released,Fitts,inf,Reconstruction_MASE,108,652,0.23807233896625765,0.23090667477722396,0.24618571497331287
pre_released,Fitts,inf,Reconstruction_MASE,110,652,0.2559325147392638,0.2465286133577454,0.265980138514954
pre_released,Fitts,inf,Reconstruction_MASE,2,432,0.29086723520833335,0.27933541450752314,0.30285955125983793
pre_released,Fitts,inf,Reconstruction_MASE,4,432,0.2862490219675926,0.27415992465046296,0.29958127956770836
pre_released,Fitts,inf,Reconstruction_MASE,6,432,0.3520858474537037,0.3366972209432871,0.3680403626452547
pre_released,Fitts,inf,Reconstruction_MASE,8,432,0.28245704060185184,0.271375059271412,0.2946757180688657
pre_released,Fitts,inf,Reconstruction_R2,10,434,0.8958888916376,0.8842487042332026,0.9069419717974102
