checkpoint,domain,group,variant,mean,lower,upper,n
ft_A2,organic,object_moving/snr20.0,"per dataset, mean (mine)",0.9749859232599847,0.9684432820533402,0.9797860853374004,5
ft_A2,organic,pointing/snr20.0,"per dataset, mean (mine)",0.9792812758740038,0.9727058242307975,0.9836156932055019,2
ft_A2,organic,steering/snr20.0,"per dataset, mean (mine)",0.9705134066350293,0.9664233277668245,0.9743981936131604,9
ft_A2,organic,tablet_writing/snr20.0,"per dataset, mean (mine)",0.8584092853388283,0.8405283786705695,0.8740998622961342,40
ft_A2,organic,whacamole/snr20.0,"per dataset, mean (mine)",0.9236956481798552,0.9044626733637415,0.9404718150384724,128
ft_A2,organic,ALL/snr20.0,"pooled+balanced, median (paper)",0.9628305781632662,0.9592321515083312,0.9663126468658448,194
ft_A2,organic,ALL/snr20.0,"pooled+balanced, mean",0.9319945427970628,0.924682337120508,0.9386424941842311,194
ft_A2,organic,Fitts/snrinf,"per dataset, mean (mine)",0.8608647356415168,0.8061554154264741,0.9017350726993754,10
ft_A2,organic,crank/snrinf,"per dataset, mean (mine)",0.9039770354533102,0.884527696017176,0.9220863548689522,5
ft_A2,organic,object_moving/snrinf,"per dataset, mean (mine)",0.967607513690833,0.9554453384014778,0.9758993461495266,5
ft_A2,organic,pointing/snrinf,"per dataset, mean (mine)",0.9816321020505857,0.9760702571831643,0.9859245453379117,2
ft_A2,organic,steering/snrinf,"per dataset, mean (mine)",0.9730428468612954,0.9694198358454742,0.9769172096857801,9
ft_A2,organic,tablet_writing/snrinf,"per dataset, mean (mine)",0.8600634271891322,0.842276360548567,0.8770636203582398,38
ft_A2,organic,whacamole/snrinf,"per dataset, mean (mine)",0.9286610270128586,0.9081356413778849,0.9448971660691313,128
ft_A2,organic,ALL/snrinf,"pooled+balanced, median (paper)",0.961994652658701,0.9581041932106018,0.9644425511360168,192
ft_A2,organic,ALL/snrinf,"pooled+balanced, mean",0.9248390661623728,0.9163050321146978,0.9322929722356743,192
ft_B,organic,Fitts/snr10.0,"per dataset, mean (mine)",0.8747636520275847,0.8353964740294032,0.9099312734324485,10
ft_B,organic,crank/snr10.0,"per dataset, mean (mine)",0.8905487106954679,0.8705220379517413,0.9044269409147091,5
ft_B,organic,object_moving/snr10.0,"per dataset, mean (mine)",0.9186333790917415,0.8787505091400817,0.9422273756936193,5
ft_B,organic,pointing/snr10.0,"per dataset, mean (mine)",0.9713164813036564,0.9672224049340002,0.9750533902319148,2
ft_B,organic,steering/snr10.0,"per dataset, mean (mine)",0.941474583230447,0.9370664394460618,0.9460224090726115,9
ft_B,organic,tablet_writing/snr10.0,"per dataset, mean (mine)",0.8146665876531042,0.7968806999619119,0.8300156917539425,33
