checkpoint,dataset,snr,metric,n_participants,median,q25,q75,min_estimate,max_estimate,envelope_lo,envelope_hi,mixture_lo,mixture_hi
pre_released,pointing,inf,Reconstruction_MASE,2,0.16049440408195173,0.1586708393180843,0.16231796884581917,0.15684727455421688,0.16414153360968659,0.15120871018305723,0.17055157471289176,0.1521267387546687,0.16926640968019943
pre_released,pointing,inf,Reconstruction_R2,2,0.9756767063541691,0.9749881247044381,0.9763652880039002,0.9742995430547071,0.9770538696536312,0.9712263056851295,0.9796851788023938,0.9719310872750468,0.9793734672784465
pre_released,steering,10.0,Number_of_submovements_per_second,9,3.5675934813916683,3.4728233870118856,3.6694107726216316,3.2000419925898314,4.1593591421842575,3.158889717143029,4.248348321206867,3.1847550324629994,4.1939357948955145
pre_released,steering,10.0,Reconstruction_MASE,9,0.23979525199999996,0.234849343,0.24434824800000002,0.21493515175000005,0.25844413875,0.21301391145624998,0.26144229890625,0.2141674353125,0.25957802433124993
pre_released,steering,10.0,Reconstruction_R2,9,0.9404375180602074,0.9400159239768981,0.9447904661297798,0.9337760299444199,0.9531930163502693,0.9315898958593607,0.9543366810306907,0.9329425577819347,0.9536611658707261
pre_released,steering,20.0,Number_of_submovements_per_second,9,4.289004608988762,4.0991009417921305,4.439930330961943,3.860231453552842,4.767119944095612,3.8067188132554293,4.863245754316449,3.838991210795939,4.803906076960264
pre_released,steering,20.0,Reconstruction_MASE,9,0.17499508075,0.1686508315,0.1808313215,0.14663630100000002,0.1853322865,0.14424549352500002,0.1883194240375,0.1458082985,0.18663428408125002
pre_released,steering,20.0,Reconstruction_R2,9,0.9616671726107597,0.9575145408511162,0.9647092819213867,0.9528150796890259,0.9735766261816025,0.9510201187804341,0.974527434259653,0.952103304117918,0.9739645720273257
pre_released,steering,inf,Number_of_submovements_per_second,9,5.86621842160821,5.554382175207138,6.0290244072675705,5.186833295971155,6.116938769817352,5.121896225586534,6.241690288111568,5.160739731788635,6.165635444596409
pre_released,steering,inf,Reconstruction_MASE,9,0.16280009099999998,0.1557028495,0.1691541175,0.136951854475,0.177361849,0.13409850807124998,0.18007829771875,0.13571797791124998,0.17839608588749994
pre_released,steering,inf,Reconstruction_R2,9,0.963429182767868,0.9588327452540397,0.9683464929461479,0.9545935422182084,0.974651251733303,0.9529953199252487,0.9755977084487677,0.9539437475427984,0.9751988757029176
pre_released,tablet_writing,10.0,Number_of_submovements_per_second,44,7.486237365015369,7.189946308293763,7.748404751970049,4.280329309403896,8.360084735860045,3.8772466231603175,8.704930092920275,5.096669990061359,8.34853366542269
pre_released,tablet_writing,10.0,Reconstruction_MASE,44,0.3878610976838235,0.36633401572727275,0.4181604674816176,0.2713686316666667,0.5307171867647058,0.24443609789583332,0.5582248590367647,0.30916802602446525,0.520371579485294
pre_released,tablet_writing,10.0,Reconstruction_R2,44,0.79912902767008,0.7714242152989229,0.8193433343297608,0.7026804142138537,0.8916735624273618,0.6662376910009805,0.9115096170455218,0.7012493454358157,0.8758162558349696
